time,D_u,D_v,D_w,D_q,D_r,desired_x,x,desired_y,y,desired_z,z,l_error,beta_error,alpha_error,tau_{u},tau_{q},tau_{r}
0.1,4.00301353505759,2.45954148194105,2.255311553312,3.05279004854728,3.81911581827901,0,-3,10,13,-5,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,-99.9868988990784,49.9999403953552,-49.9740988016129
0.2,2.29137775185785,1.50531629337011,1.63668507317865,1.77962148951812,2.01019617976558,0.149994375063281,-3.04173212407131,9.99887502109359,13.0019215167828,-5.025,-0.999142467089995,4.9508768409233,-0.720059306678254,-0.689572768510794,-97.5408971309662,49.9562978744507,-49.8888194561005
0.3,0.547808222192994,0.534341182509538,1.00598744927515,0.494059646346999,0.176014323686817,0.299955002024957,-3.12358073633893,9.99550033748988,13.0035463518257,-5.05,-0.996909994124599,5.09889140516072,-0.688917634325532,-0.571875356410338,-5.11789247393608,45.3764349222183,-43.4523165225983
0.4,-1.20328468902662,-0.443359156610969,0.367335815233139,-0.788607248516545,-1.6560322870744,0.449848140376602,-3.20478324583815,9.98987670847843,13.0025598695772,-5.075,-0.994044435058953,5.25194279574735,-0.651219017259184,-0.450616945752464,99.9776601791382,49.9922573566437,-47.5290238857269
0.5,-2.93731156931337,-1.41768708561077,-0.275093542539208,-2.05319016130223,-3.45861912232679,0.599640064794446,-3.24034990254552,9.98200539935204,12.9980216125718,-5.1,-0.993388806307334,5.38013575434236,-0.6181803394779,-0.334261236462085,100,49.9999910593033,-48.1483817100525
0.6,-4.62991139700672,-2.37858616986115,-0.917094687803471,-3.28480375495373,-5.20496281012181,0.749297072727423,-3.23252785325963,9.97188818112208,12.9895076234342,-5.125,-0.995388018992136,5.48187102259182,-0.588545601339333,-0.222524501557735,99.9998390674591,49.9999970197678,-10.0014895200729
0.7,-6.25735607153073,-3.31615471296735,-1.55446175572883,-4.46906614834929,-6.86927895516653,0.89878549198011,-3.18542815616382,9.95952733011994,12.9690474923935,-5.15,-1.00130943812117,5.55359795143393,-0.564750783983313,-0.150726199318613,99.9579548835754,49.9635726213455,15.0250345468521
0.8,-7.79694447356815,-4.22075731506839,-2.18301867336876,-5.59229103805281,-8.4272210142593,1.04807168828882,-3.10377221103486,9.94492562748497,12.9310742320881,-5.175,-1.01232624850724,5.59414467649077,-0.545541607654211,-0.113809217816054,99.9474823474884,49.9994665384293,16.3092941045761
0.9,-9.22737867966851,-5.08313311876502,-2.79864866039418,-6.64166940050307,-9.85629206864777,1.19712207288919,-2.99269504689235,9.92808635853866,12.8721577132286,-5.2,-1.02938211826198,5.60425447376109,-0.530331765752288,-0.094186825138339,99.9265253543854,49.9899506568909,8.33347737789154
1,-10.529115291006,-5.89449944955856,-3.39732329282493,-7.60543815133863,-11.1362218691408,1.34590311007348,-2.85541368430176,9.90901331204548,12.7938440725015,-5.225,-1.0531170869678,5.58619149153914,-0.518281258609888,-0.076438223278671,86.0059082508087,49.9989151954651,17.8319245576859
