time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
0.1,4.00301353505759,2.45954148194105,2.255311553312,3.05279004854728,3.81911581827901,1,0.452148920227285,-0.349065850398866,0,-2.0943951023932,0,0.547851079772715,-0.349065850398866,-2.0943951023932,99.991238117218,-49.9985754489899,-49.999988079071
0.2,2.29137775185785,1.50531629337011,1.63668507317865,1.77962148951812,2.01019617976558,1,0.881376169918844,-0.349065850398866,-0.02652304259912,-2.0943951023932,-0.048105075271658,0.118623830081156,-0.322542807799746,-2.04629002712154,99.9440729618073,-49.9992102384567,-49.9999970197678
0.3,0.547808222192994,0.534341182509538,1.00598744927515,0.494059646346999,0.176014323686817,1,1.00274853308514,-0.349065850398866,-0.043527581427536,-2.0943951023932,-0.127556481427538,-0.002748533085142,-0.30553826897133,-1.96683862096566,36.3017946481705,-49.9996781349182,-49.9999523162842
0.4,-1.20328468902662,-0.443359156610969,0.367335815233139,-0.788607248516545,-1.6560322870744,1,1.01234886976935,-0.349065850398866,-0.06659596087076,-2.0943951023932,-0.221016228031476,-0.012348869769353,-0.282469889528106,-1.87337887436172,15.2341797947884,-50,-49.9999046325684
0.5,-2.93731156931337,-1.41768708561077,-0.275093542539208,-2.05319016130223,-3.45861912232679,1,1.01882813365241,-0.349065850398866,-0.085623589867407,-2.0943951023932,-0.318932313188931,-0.018828133652409,-0.263442260531459,-1.77546278920426,16.7730718851089,-49.9965220689774,-49.9999523162842
0.6,-4.62991139700672,-2.37858616986115,-0.917094687803471,-3.28480375495373,-5.20496281012181,1,1.01857579839281,-0.349065850398866,-0.106871247190395,-2.0943951023932,-0.419370984210906,-0.018575798392814,-0.242194603208471,-1.67502411818229,17.0241087675095,-49.9959111213684,-49.9994903802872
0.7,-6.25735607153073,-3.31615471296735,-1.55446175572883,-4.46906614834929,-6.86927895516653,1,1.01213822365824,-0.349065850398866,-0.126366020015691,-2.0943951023932,-0.522224484146278,-0.012138223658244,-0.222699830383174,-1.57217061824692,17.2807708382607,-49.999988079071,-49.971678853035
0.8,-7.79694447356815,-4.22075731506839,-2.18301867336876,-5.59229103805281,-8.4272210142593,1,1.01567446491484,-0.349065850398866,-0.146526186254814,-2.0943951023932,-0.627298785581378,-0.015674464914838,-0.202539664144052,-1.46709631681182,21.0203379392624,-49.9875843524933,-49.9981254339218
0.9,-9.22737867966851,-5.08313311876502,-2.79864866039418,-6.64166940050307,-9.85629206864777,1,1.01554480711527,-0.349065850398866,-0.165845623026463,-2.0943951023932,-0.734584017869246,-0.015544807115265,-0.183220227372402,-1.35981108452395,21.6618657112122,-49.9968647956848,-49.9997913837433
1,-10.529115291006,-5.89449944955856,-3.39732329282493,-7.60543815133863,-11.1362218691408,1,1.01283529521267,-0.349065850398866,-0.185203836723572,-2.0943951023932,-0.843905867947141,-0.012835295212669,-0.163862013675294,-1.25048923444605,22.391764819622,-49.9757826328278,-49.9995470046997
1.1,-11.6846853132737,-6.64664961688136,-3.9751309158676,-8.47303333711604,-12.2493022149836,1,1.00824092981779,-0.349065850398866,-0.204035345305989,-2.0943951023932,-0.955097112606424,-0.008240929817786,-0.145030505092877,-1.13929798978677,23.0664074420929,-49.9954581260681,-49.9996244907379
1.2,-12.6789766343743,-7.33204371634389,-4.52830419694695,-9.23522566993526,-13.1806745479532,1,0.995197821623796,-0.349065850398866,-0.222647571123466,-2.0943951023932,-1.06800668640397,0.004802178376204,-0.1264182792754,-1.02638841598922,22.0365211367607,-49.9992698431015,-49.9967843294144
1.3,-13.4994738761753,-7.94389136273394,-5.05324661657392,-9.88423648378818,-13.9185645821275,1,0.995758644109738,-0.349065850398866,-0.240816368915535,-2.0943951023932,-1.182460640197,0.004241355890262,-0.108249481483331,-0.911934462196197,25.7620483636856,-49.9991744756699,-49.9926894903183
1.4,-14.1364512311564,-8.47622538542005,-5.54655770277265,-10.4138324886329,-14.454459828233,1,0.992404078048016,-0.349065850398866,-0.258614278392161,-2.0943951023932,-1.2982833145956,0.007595921951984,-0.090451572006705,-0.796111787797595,25.4608869552612,-49.9999135732651,-49.9933481216431
1.5,-14.5831148170668,-8.92396563180193,-6.0050568243307,-10.8193980196516,-14.7832269882699,1,0.991065143630753,-0.349065850398866,-0.275954963323071,-2.0943951023932,-1.41528284697382,0.008934856369247,-0.073110887075795,-0.679112255419374,26.3156116008759,-49.9989807605743,-49.9977558851242
1.6,-14.8356920737004,-9.28297214883549,-6.4258053690661,-11.0979838198867,-14.9031673686197,1,0.989165286949754,-0.349065850398866,-0.292830711542404,-2.0943951023932,-1.53323003241089,0.010834713050246,-0.056235138856462,-0.561165069982306,26.3863891363144,-49.9999970197678,-49.9997913837433
1.7,-14.8934667650819,-9.55008714582547,-6.80612714553785,-11.2483317491768,-14.8160096643201,1,0.990130405703827,-0.349065850398866,-0.309194409238268,-2.0943951023932,-1.65193092522667,0.009869594296173,-0.039871441160598,-0.442464177166528,27.0523011684418,-49.8006284236908,-49.6580421924591
1.8,-14.7587592162611,-9.72316528190418,-7.14362686006892,-11.2708751755302,-14.5268406793337,1,0.993329986874755,-0.349065850398866,-0.324902921484851,-2.0943951023932,-1.77078998677831,0.006670013125245,-0.024162928914015,-0.323605115614883,27.4113774299622,-45.3010112047195,-37.7706438302994
1.9,-14.4368524844946,-9.8010919670894,-7.43620653549817,-11.1677151711487,-14.0439757430446,1,0.991247918961296,-0.349065850398866,-0.337540983117485,-2.0943951023932,-1.87689070639952,0.008752081038704,-0.011524867281381,-0.217504395993675,25.6769120693207,-30.3255707025528,-6.23610317707062
2,-13.9358662177588,-9.78378951466836,-7.68207975361915,-10.9425729985731,-13.3787717379101,1,0.996095709022977,-0.349065850398866,-0.342073609158815,-2.0943951023932,-1.94715953363917,0.003904290977023,-0.006992241240051,-0.147235568754021,25.9265631437302,-40.6333595514298,-16.131716966629
2.1,-13.2665809675774,-9.67221113297502,-7.87978361967826,-10.6007197272561,-12.5453867441196,1,0.998422453811729,-0.349065850398866,-0.353264398138973,-2.0943951023932,-2.01858904234713,0.001577546188271,0.004198547740107,-0.075806060046062,24.3545472621918,-9.95571091771126,27.2369146347046
2.2,-12.4422166772215,-9.46832289449248,-8.02818836446829,-10.1488841617827,-11.5604913125906,1,0.988433599452054,-0.349065850398866,-0.345525109260767,-2.0943951023932,-2.04226137762443,0.011566400547946,-0.003540741138099,-0.052133724768763,20.304799079895,-45.4140692949295,-23.499296605587
2.3,-11.4781699409181,-9.17507396770822,-8.12650451733143,-9.59514058471194,-10.4429372778414,1,0.997935165188874,-0.349065850398866,-0.358514434973471,-2.0943951023932,-2.09642299888995,0.002064834811126,0.009448584574605,0.002027896496755,23.5503643751144,3.53218205273151,49.7597873210907
2.4,-10.3917154069708,-8.79635554040278,-8.17428760164488,-8.94877811465185,-9.21339079960941,1,0.997741053833801,-0.349065850398866,-0.341813781847485,-2.0943951023932,-2.09744876462722,0.002258946166199,-0.007252068551381,0.00305366223403,20.2484890818596,-48.790580034256,-32.0069670677185
2.5,-9.2016773619406,-8.33694900024776,-8.17144032295967,-8.2201537491456,-7.89393696155089,1,0.999025099895706,-0.349065850398866,-0.358705653849959,-2.0943951023932,-2.14355267975057,0.000974900104294,0.009639803451093,0.04915757735737,19.4157004356384,26.1460244655609,49.962529540062
2.6,-7.92807807096991,-7.80246406799928,-8.11821223875938,-7.42053139813415,-6.5076637448354,1,1.00085962396393,-0.349065850398866,-0.340597525852433,-2.0943951023932,-2.13654326729318,-0.000859623963928,-0.008468324546432,0.042148164899985,18.2362273335457,-45.6789612770081,-29.8933297395706
2.7,-6.59176985039148,-7.19926769857581,-8.01519691765389,-6.56190941359451,-5.07823352498544,1,1.00076859283597,-0.349065850398866,-0.35559816461542,-2.0943951023932,-2.17173464555323,-0.00076859283597,0.006532314216554,0.077339543160039,16.5815711021423,17.3545777797699,49.9635934829712
2.8,-5.21405810528963,-6.53440467441246,-7.86332661458249,-5.65683928142273,-3.62945040622483,1,1.00869546337022,-0.349065850398866,-0.335598803378407,-2.0943951023932,-2.15378127146434,-0.008695463370216,-0.013467047020459,0.059386169071147,16.9264957308769,-47.371232509613,-34.7797989845276
2.9,-3.81632267211819,-5.81551091234109,-7.66386450712605,-4.71823826036436,-2.18483170664178,1,1.00200999701441,-0.349065850398866,-0.350599442141393,-2.0943951023932,-2.18393068876644,-0.002009997014405,0.001533591742527,0.08953558637325,12.4227203428745,14.0987172722816,49.9449282884598
3,-2.41964476343308,-5.05072058867724,-7.41839455617889,-3.75919882807015,-0.767191740818466,1,1.00737789402915,-0.349065850398866,-0.33060008090438,-2.0943951023932,-2.16100343503098,-0.00737789402915,-0.018465769494486,0.066608332637788,13.5492190718651,-49.7326076030731,-37.1550917625427
3.1,-1.04444662006852,-4.2485682561973,-7.12880907186974,-2.79279782514404,0.60175428119299,1,1.00395965192405,-0.349065850398866,-0.345600719667367,-2.0943951023932,-2.18733698831112,-0.003959651924045,-0.003465130731499,0.092941885917921,10.4291312396526,6.14735558629036,49.9654352664948
3.2,0.289849359383375,-3.41788718045584,-6.79729408261392,-1.8319081740228,1.90175890070122,1,1.00149227375759,-0.349065850398866,-0.325601358430353,-2.0943951023932,-2.16066761628036,-0.00149227375759,-0.023464491968513,0.066272513887164,9.06009748578072,-49.9031811952591,-39.937436580658
3.3,1.56513571317264,-2.56770516081305,-6.42631262139632,-0.889015991062307,3.11437688849795,1,1.0063901768623,-0.349065850398866,-0.34060199719334,-2.0943951023932,-2.18470014020836,-0.006390176862304,-0.008463853205526,0.090305037815166,9.67356786131859,1.26131251454353,49.8398542404175
3.4,2.76490353266239,-1.70713912321906,-6.01858605870523,0.023954191621251,4.22325959157528,1,0.991623052400229,-0.349065850398866,-0.320602635956327,-2.0943951023932,-2.15581034962185,0.008376947599771,-0.028463214442539,0.061415247228659,3.78469750285149,-49.9947249889374,-39.3000602722168
