step,EvalAverageReward
1000,-371.085423175517
2000,-388.035837215959
3000,-360.535636822919
4000,-377.561657509065
5000,-375.440467272145
6000,-381.775508719418
7000,-370.640424069901
8000,-384.488408794371
9000,-389.189621953869
10000,-386.853484877809
11000,-391.306737728762
12000,-387.453972503503
13000,-384.232898831588
14000,-376.798020093237
15000,-370.73222752532
16000,-394.014419790119
17000,-382.904183412168
18000,-388.993130006276
19000,-390.896756349556
20000,-381.211525990242
21000,-393.090130315349
22000,-395.332931069173
23000,-378.477335766591
24000,-393.87496617546
25000,-400.362741654944
26000,-385.70040686402
27000,-369.065372121036
28000,-385.119661224128
29000,-376.793003174256
30000,-388.36020795255
31000,-381.744140641509
32000,-385.156336899244
33000,-370.97818004321
34000,-391.023356477088
35000,-390.820352869835
36000,-386.126552147501
37000,-374.674228371983
38000,-378.862687801838
39000,-396.115244763157
40000,-375.502193977677
41000,-377.509156668665
42000,-374.9951493381
43000,-381.675175579524
44000,-391.799243102664
45000,-396.2256929167
46000,-388.923842282692
47000,-381.348734856154
48000,-385.88626784044
49000,-396.753694710903
50000,-395.719092336028
51000,-382.61084367602
52000,-392.981543698177
53000,-370.238065675605
54000,-377.882132289412
55000,-393.768802298193
56000,-382.653988126925
57000,-392.564503087168
58000,-385.587466465994
59000,-381.897543095932
60000,-377.383212519532
61000,-375.270357177645
62000,-379.834877131241
63000,-383.484960523245
64000,-372.18765657682
65000,-389.795246134903
66000,-383.585342683508
67000,-390.533227138581
68000,-383.371383079124
69000,-385.429734471214
70000,-375.435221953237
71000,-388.412535529833
72000,-364.900350695826
73000,-385.709736670424
74000,-390.284061036922
75000,-373.372926521124
76000,-383.611424156105
77000,-398.608052246468
78000,-371.282914965391
79000,-371.03875314557
80000,-390.125264337687
81000,-387.904270277543
82000,-390.314654051745
83000,-374.012040953366
84000,-362.508466654801
85000,-384.592881462709
86000,-375.987861753343
87000,-369.899604273444
88000,-365.477029018734
89000,-372.564864186313
90000,-380.316798066749
91000,-379.382953890406
92000,-396.930987734054
93000,-377.416620320483
94000,-391.579582236082
95000,-386.725772959178
96000,-385.980733083298
97000,-368.247772302439
98000,-387.30537009077
99000,-377.675485339773
100000,-371.46470862822
101000,-379.37709815124
102000,-380.345181180923
103000,-395.388579153611
104000,-389.67319484046
105000,-381.162523672575
106000,-380.584959177683
107000,-378.050094094025
108000,-400.79123940266
109000,-397.275327180499
110000,-388.599950099152
111000,-394.744015234404
112000,-386.747256347523
113000,-378.966708055434
114000,-378.880914638927
115000,-383.432409106053
116000,-377.0950802428
117000,-374.961232327061
118000,-391.393101974261
119000,-379.831669346978
120000,-366.996706415659
121000,-382.909777818929
122000,-391.320454695694
123000,-392.288432461789
124000,-400.332585584474
125000,-383.102256446622
126000,-392.68716876999
127000,-381.916568453592
128000,-381.824974549334
129000,-377.480467605885
130000,-385.593480651636
131000,-390.304495520767
132000,-372.820297260454
133000,-371.438222910377
134000,-380.264336492488
135000,-365.013884851747
136000,-390.175511838921
137000,-369.281813007759
138000,-382.957889943591
139000,-365.792731739462
140000,-381.493148599001
141000,-386.460107129194
142000,-394.587709833339
143000,-371.077669278667
144000,-384.350448699091
145000,-392.319396654914
146000,-392.590407843538
147000,-378.157483020426
148000,-399.414187305885
149000,-379.178487278675
150000,-382.830224131672
151000,-383.217545695188
152000,-356.202680371532
153000,-383.308135291779
154000,-387.93247920633
155000,-376.239424257685
156000,-382.232738395893
157000,-395.833376352625
158000,-395.285557525017
159000,-386.265165483965
160000,-378.031707495906
161000,-365.258044830391
162000,-380.984627848144
163000,-373.700694632996
164000,-379.12654305665
165000,-385.855831763603
166000,-384.57803071324
167000,-373.869683214837
168000,-371.090785856531
169000,-386.080149846224
170000,-390.779962608626
171000,-384.059070417925
172000,-388.99787203639
173000,-386.520866565242
174000,-382.874373159885
175000,-381.180818585019
176000,-397.722869522731
177000,-371.151895541204
178000,-383.23174078754
179000,-375.039780507427
180000,-375.488971529536
181000,-386.841339285647
182000,-385.955960582338
183000,-383.498220258678
184000,-385.793124199952
185000,-376.908025028634
186000,-391.060204827567
187000,-378.594266543977
188000,-386.833021301118
189000,-382.456306654722
190000,-393.76192117223
191000,-374.574707701516
192000,-370.814808841588
193000,-391.132331500813
194000,-398.365319077972
195000,-386.388673115831
196000,-360.693627704329
197000,-369.558291985086
198000,-395.376234783924
199000,-382.816851142542
200000,-366.34853197826
201000,-367.720340814671
202000,-262.667770786936
203000,-246.042743116641
204000,-190.13069596536
205000,-168.035681191024
206000,-150.694107531312
207000,-150.503021082379
208000,-160.762737774079
209000,-153.629319810108
210000,-155.097633415585
211000,-147.064251019485
212000,-141.065196517093
213000,-146.843120004484
214000,-135.210696383405
215000,-126.190988247379
216000,-115.723942893977
217000,-122.953103724528
218000,-112.113264057324
219000,-100.964626806937
220000,-86.0706705083679
221000,-55.4781535770554
222000,-81.0207009294062
223000,-85.6334601096217
224000,-73.3460934758482
225000,-59.9797491394924
226000,-54.6178011902659
227000,-71.5810446063066
228000,-53.7251608057583
229000,-55.7484498961399
230000,-46.7609250888469
231000,-33.7785160708357
232000,-35.7442917111591
233000,-31.0531129246368
234000,-42.7529807667894
235000,-25.5834718613235
236000,-45.707070035004
237000,-36.0831047949356
238000,-36.3179901163961
239000,-22.7043168340183
240000,-35.0969316617009
241000,-24.8274138241377
242000,-28.7642391989476
243000,-40.488090233122
244000,-31.7636910372468
245000,-33.1156857171361
246000,-34.1205878938366
247000,-19.6756166509258
248000,-27.2310817836476
249000,-30.8032452061049
250000,-32.0484934894844
251000,-39.0668439248127
252000,-23.4551616584657
253000,-28.4805256213242
254000,-21.0488292888357
255000,-19.2578303998075
256000,-17.4291197076016
257000,-14.8384895231538
258000,-17.3113240536195
259000,-22.8627960574479
260000,-12.4207930379086
261000,-25.7942155871973
262000,-22.672765765677
263000,-28.2261944107284
264000,-19.1275472653398
265000,-32.3063168199003
266000,-25.7861258027462
267000,-15.1078802822271
268000,-16.5735182629778
269000,-18.6914638109678
270000,-25.3527431863727
271000,-31.4132081032652
272000,-20.0321728937268
273000,-28.565263198053
274000,-24.6732327892586
275000,-16.4730663883206
276000,-20.3506673624405
277000,-24.4059514281217
278000,-17.3620048177135
279000,-12.400921472695
280000,-17.6498246376869
281000,-21.4431648506961
282000,-16.2764374404807
283000,-20.1823286084572
284000,-11.8409697656491
285000,-18.8555127984162
286000,-21.8489902632307
287000,-25.8668915285546
288000,-19.2309735434672
289000,-20.6794514718468
290000,-21.0614754395529
291000,-25.9701608384648
292000,-15.977920657968
293000,-16.4377939291603
294000,-20.3691746845447
295000,-24.3558183056524
296000,-15.9600728889796
297000,-17.5732980093227
298000,-16.8402884611222
299000,-17.6423112814276
300000,-12.700835636464
301000,-13.274682345289
302000,-13.4024734267021
303000,-15.4233167766116
304000,-23.3330494812647
305000,-12.3459801017062
306000,-17.1593941284208
307000,-11.666963104461
308000,-14.3267070487419
309000,-7.74030430248422
310000,-9.5369359723425
311000,-9.4437849886438
312000,-8.92350702581754
313000,-9.8894878494084
314000,-8.88059784834436
315000,-8.05045577635191
316000,-9.2572883392889
317000,-8.10399874039087
318000,-6.78653831610175
319000,-16.2480059840698
320000,-12.6427153826691
321000,-18.5382293398361
322000,-8.43118226471358
323000,-11.8796628101663
324000,-18.023387394944
325000,-9.4129263791328
326000,-11.2310731151618
327000,-16.9859264566553
328000,-10.476668990488
329000,-8.86407157071285
330000,-12.9353955899233
331000,-11.1491845805573
332000,-14.9018371034513
333000,-9.6717601902691
334000,-14.4542491240925
335000,-10.858569333491
336000,-12.8453239276614
337000,-15.8348988983997
338000,-12.7449921491175
339000,-15.3223224551632
340000,-13.408317319712
341000,-11.131738602356
342000,-14.9342733643129
343000,-11.6539889404099
344000,-7.59053023003328
345000,-11.1499019059197
346000,-10.1796502401726
347000,-9.1828830682081
348000,-13.4548289073104
349000,-11.868656375554
350000,-12.1683977619904
351000,-8.82789889181304
352000,-13.0135933669657
353000,-11.8098358069343
354000,-9.3195008439559
355000,-10.619963661068
356000,-8.48860716562092
357000,-8.6559310050713
358000,-8.61560810369748
359000,-11.5300310258846
360000,-13.5821971994326
361000,-11.546855754138
362000,-11.832677515809
363000,-10.4495563415949
364000,-8.8133274126602
365000,-9.6941161118976
366000,-6.42492105826677
367000,-11.5097469912516
368000,-12.0792257345049
369000,-12.6684601624017
370000,-12.6695758672968
371000,-12.2866158847356
372000,-15.026632236304
373000,-10.9486625572806
374000,-15.6375159478777
375000,-12.9542944671865
376000,-16.2840579304276
377000,-10.4939521599013
378000,-10.0492426254498
379000,-14.0656361318163
380000,-9.7388513342365
381000,-7.58552344166258
382000,-13.8158169136069
383000,-12.7202819069281
384000,-8.42095311808833
385000,-8.97531897189667
386000,-6.67845774977869
387000,-12.5961247688102
388000,-7.30781845743311
389000,-11.0607443885121
390000,-8.64536066530629
391000,-6.44482600980343
392000,-7.6463713940197
393000,-14.7197346061458
394000,-9.2362318892246
395000,-6.27171243126259
396000,-6.15133810348053
397000,-6.67430797789992
398000,-5.80036429867862
399000,-7.07454332576889
400000,-6.46692287277599
401000,-8.40464231384485
402000,-8.98911360017913
403000,-7.30522756621656
404000,-7.75252251584832
405000,-8.0705226533682
406000,-6.41444278332115
407000,-5.81445796301487
408000,-8.30900720179352
409000,-7.87349201182831
410000,-6.19806063247117
411000,-5.12822343253736
412000,-6.35929395867198
413000,-8.33334819990341
414000,-5.68331792044436
415000,-7.04250873448846
416000,-7.15646751930492
417000,-8.46106158341793
418000,-8.01297352168388
419000,-8.23119080621533
420000,-6.27480268803508
421000,-7.07955671646457
422000,-7.70708623410637
423000,-4.96063959264199
424000,-5.74468077321753
425000,-5.52338422174887
426000,-5.15947881867006
427000,-5.79636309700987
428000,-5.94568751460244
429000,-5.26300459270813
430000,-6.26669495403224
431000,-5.85005053046117
432000,-6.88369791217435
433000,-4.99723763959195
434000,-5.73711857494997
435000,-5.87522328932625
436000,-6.7002573795345
437000,-5.89864335491464
438000,-6.93503855041437
439000,-6.57142406839777
440000,-6.62133499993446
441000,-6.20379073340406
442000,-6.89331288707898
443000,-5.96730346837257
444000,-5.81778579622456
445000,-6.70161748111145
446000,-6.01877033677029
447000,-6.3532507477691
448000,-5.67385202847009
449000,-4.86845153629283
450000,-5.00452860955935
451000,-4.69349570200363
452000,-4.29256325551105
453000,-4.27729354459561
454000,-5.07451471723183
455000,-4.60206034623014
456000,-4.10073111348104
457000,-4.29582320270997
458000,-3.844087021352
459000,-4.74610248510845
460000,-3.7824400802192
461000,-3.92965569804396
462000,-4.06296992400626
463000,-3.98498033341721
464000,-3.78003961178439
465000,-3.84589568925293
466000,-3.62096099664745
467000,-3.56431128257874
468000,-4.05006782324914
469000,-4.17894945308897
470000,-3.87205529231906
471000,-4.09927502644672
472000,-3.71132577426755
473000,-4.05832862393588
474000,-3.82496393475281
475000,-4.15714950120243
476000,-4.1721367658441
477000,-3.66104348083166
478000,-3.47926184783397
479000,-3.94337289433986
480000,-3.57242107938163
481000,-3.83719409879306
482000,-4.21511404072861
483000,-4.02419765365324
484000,-3.39428583898985
485000,-4.01369506919246
486000,-3.86076042972656
487000,-4.14321691607011
488000,-3.27113301508111
489000,-3.42202000546024
490000,-3.55230860373864
491000,-3.4455621996166
492000,-3.51941370996276
493000,-3.54352452963058
494000,-3.55627046439804
495000,-3.47125776568033
496000,-3.47475571948655
497000,-3.35668218949419
498000,-3.35503552306196
499000,-3.53973871894145
500000,-3.18296929038173
501000,-3.16121362217856
502000,-3.32621972923163
503000,-3.22469212919008
504000,-3.38154946996604
505000,-3.41083608181964
506000,-3.2103676843921
507000,-3.24218312009736
508000,-2.82827430147032
509000,-3.33611918505904
510000,-3.14614915894525
511000,-3.08933684609519
512000,-3.11808619562178
513000,-3.03944461740899
514000,-3.37467407016227
515000,-3.10290370855124
516000,-2.802454074418
517000,-2.93954743917658
518000,-3.59370252606732
519000,-2.81326512691055
520000,-2.88337969319936
521000,-2.95655900485062
522000,-2.93155173974367
523000,-3.12810787094481
524000,-3.00573710102263
525000,-2.79997830930689
526000,-2.93330701917698
527000,-2.97374752064421
528000,-3.10750153629196
529000,-2.78744961548329
530000,-3.09496963879513
531000,-2.95290495816791
532000,-2.99229561971268
533000,-2.86606392025347
534000,-2.9369692937038
535000,-2.85081716277123
