step,EvalAverageReward
1000,-411.19591092
2000,-399.452679835225
3000,-401.743772830896
4000,-396.584959551084
5000,-401.842333468755
6000,-391.766590437858
7000,-391.168055079456
8000,-393.508548784498
9000,-392.788501657875
10000,-403.35357731245
11000,-404.362217579824
12000,-400.475280740434
13000,-395.545893240199
14000,-391.945755666549
15000,-392.728865756951
16000,-403.055963385473
17000,-401.695383197311
18000,-407.119607083817
19000,-401.361182196806
20000,-404.47517835021
21000,-398.685110450196
22000,-387.432885051922
23000,-400.231548901491
24000,-393.87027408733
25000,-404.780879004314
26000,-399.647889389754
27000,-395.659497530945
28000,-388.356718298047
29000,-397.18435379961
30000,-400.444629264706
31000,-405.058595610999
32000,-407.774232675211
33000,-405.156448714715
34000,-394.946682385509
35000,-405.907308737268
36000,-389.606223786813
37000,-401.112018558899
38000,-398.777499771949
39000,-386.722593554599
40000,-391.014312029288
41000,-393.593306162408
42000,-412.620036199913
43000,-384.693786538025
44000,-401.417384621857
45000,-399.922721239296
46000,-391.497064235592
47000,-402.738002549733
48000,-389.890980938188
49000,-397.161704172007
50000,-404.620135315317
51000,-408.500676136756
52000,-402.849302885292
53000,-404.310213846333
54000,-399.182844071546
55000,-397.680147631923
56000,-400.082413272628
57000,-410.003712288799
58000,-398.041807109097
59000,-398.615738332812
60000,-407.923617871571
61000,-406.294390856307
62000,-408.556746707868
63000,-396.537708875827
64000,-396.275400123211
65000,-393.644164400281
66000,-405.152098863369
67000,-406.335314997873
68000,-392.92319403067
69000,-399.569741856168
70000,-392.029875456455
71000,-411.263396720815
72000,-395.292041909359
73000,-393.983763832947
74000,-399.766495708759
75000,-406.407878345766
76000,-393.894526960296
77000,-411.728912896516
78000,-409.229374400309
79000,-387.518180667482
80000,-401.435898640852
81000,-399.349120115717
82000,-393.891577045234
83000,-400.664090424919
84000,-393.421007237649
85000,-393.294022707493
86000,-395.60739386736
87000,-410.18441817632
88000,-408.302617094619
89000,-398.205209264444
90000,-388.709675774249
91000,-403.955788799414
92000,-391.419076093338
93000,-403.401091072822
94000,-398.349215876451
95000,-396.218903763619
96000,-401.580862029197
97000,-396.791724221029
98000,-400.19764404176
99000,-412.126991090257
100000,-404.032590813243
101000,-399.32068332176
102000,-398.337873828819
103000,-405.54358293398
104000,-401.004625467536
105000,-391.145714777531
106000,-404.031723262148
107000,-408.329284704526
108000,-402.114462786262
109000,-401.180402596918
110000,-401.613260403314
111000,-394.929705814242
112000,-401.995017685228
113000,-411.251306254459
114000,-413.51523602683
115000,-398.029665723049
116000,-398.126941860115
117000,-395.211735298857
118000,-396.164835204098
119000,-391.816632498984
120000,-409.685370252307
121000,-411.729073842322
122000,-399.765780891258
123000,-398.004907790205
124000,-408.998462636504
125000,-389.105401433915
126000,-400.861737493682
127000,-410.467633708685
128000,-405.321683587977
129000,-397.982340662796
130000,-403.623368741388
131000,-395.188298672877
132000,-399.566537536151
133000,-392.928006115542
134000,-397.033938820374
135000,-394.20385094779
136000,-395.551606646773
137000,-392.645237963258
138000,-404.485324671901
139000,-408.2686844931
140000,-386.213905730293
141000,-400.488390130699
142000,-401.259015032571
143000,-396.776047157119
144000,-399.582625959077
145000,-394.662653489719
146000,-401.342226329463
147000,-398.015986247045
148000,-403.440173152742
149000,-399.682577182541
150000,-406.027933495147
151000,-402.088409635184
152000,-391.163579722276
153000,-399.767434418324
154000,-397.931019618061
155000,-406.133346670648
156000,-388.012700033466
157000,-403.513619065698
158000,-389.302799786815
159000,-410.5556828033
160000,-399.681714088374
161000,-402.838646904075
162000,-395.893734035175
163000,-411.825709345714
164000,-412.987896108733
165000,-397.40358160245
166000,-401.325133188955
167000,-390.500935467242
168000,-401.145078190264
169000,-409.216006238064
170000,-389.288664114057
171000,-399.650588119783
172000,-416.150109585069
173000,-410.600824828722
174000,-409.995405751267
175000,-406.577831521381
176000,-405.831103471068
177000,-393.597798352457
178000,-386.895031218252
179000,-413.927851007218
180000,-405.830657094055
181000,-392.17350755601
182000,-392.796195084121
183000,-402.498470689231
184000,-394.173185545866
185000,-399.438958104382
186000,-400.107782838976
187000,-396.272831485559
188000,-401.29755530341
189000,-406.447795836895
190000,-406.535597725626
191000,-408.618376104333
192000,-389.093146690265
193000,-405.434939566235
194000,-390.104790768443
195000,-403.440853636614
196000,-409.767290639365
197000,-413.287823024759
198000,-403.050442370413
199000,-406.674342905884
200000,-408.18512264163
201000,-347.662075914922
202000,-271.538812487685
203000,-216.602834135155
204000,-182.892052212208
205000,-177.281739403735
206000,-173.12464261494
207000,-183.595351249488
208000,-162.719530891215
209000,-151.287301152214
210000,-160.111065795667
211000,-131.814502057968
212000,-125.857648347805
213000,-136.851869925185
214000,-153.083611335329
215000,-132.01342631046
216000,-152.446138384597
217000,-132.539046986179
218000,-118.153820347675
219000,-120.203643829786
220000,-100.972601469857
221000,-123.332267274179
222000,-105.663152269587
223000,-115.683338566897
224000,-97.4425329827546
225000,-124.569855146173
226000,-110.700954094486
227000,-115.237695274366
228000,-106.889191594564
229000,-123.181036558992
230000,-70.9996259225431
231000,-99.54301685437
232000,-92.0076291504578
233000,-70.3219609053065
234000,-107.494487576914
235000,-89.6826149594044
236000,-63.3140102635155
237000,-84.0859407743303
238000,-67.3538778491443
239000,-59.7566910704944
240000,-127.24986436896
241000,-72.5356113463832
242000,-70.685810150588
243000,-54.1589655715596
244000,-48.9979880956325
245000,-66.2725352851097
246000,-72.0807948966428
247000,-52.875370793339
248000,-43.3905136160445
249000,-82.4740861107454
250000,-59.5500947223918
251000,-54.3112663203749
252000,-89.5577535065011
253000,-62.7196591540421
254000,-45.5502164026928
255000,-55.7860957543345
256000,-57.3181297764741
257000,-83.6226589267461
258000,-94.0909205906091
259000,-108.743053223029
260000,-63.9494478361382
261000,-65.3282209970967
262000,-51.3489263104053
263000,-67.4035434377547
264000,-85.8835810134849
265000,-84.993581937999
266000,-56.7488673703302
267000,-50.9512543007008
268000,-84.0467652350035
269000,-56.0549214895279
270000,-68.5619462692081
271000,-65.0269123173974
272000,-59.3259028049581
273000,-76.127560945705
274000,-57.0808737776901
275000,-48.9875506512451
276000,-58.4175874581403
277000,-51.4246781596434
278000,-62.4432670870401
279000,-68.6411282902868
280000,-48.3892471353034
281000,-61.6450855599436
282000,-54.8363688361511
283000,-57.4465448786948
284000,-55.15461293694
285000,-48.5303131049242
286000,-39.8414067740834
287000,-44.1715095509424
288000,-40.2379079108944
