step,EvalAverageReward
1000,-155.08189505854
2000,-153.860621955652
3000,-158.209764439341
4000,-153.472553751809
5000,-157.406727947072
6000,-165.525892287752
7000,-155.429763518417
8000,-154.36824750671
9000,-164.296484211624
10000,-155.71466070331
11000,-156.103664489627
12000,-156.999535871157
13000,-160.601390084576
14000,-155.405932716068
15000,-158.331926953413
16000,-155.277524006906
17000,-157.704277332509
18000,-162.92789596981
19000,-155.679790928896
20000,-153.582210619584
21000,-156.21607498181
22000,-156.397191243718
23000,-158.03110181818
24000,-163.541218660962
25000,-156.646362079267
26000,-160.397849186671
27000,-158.660708243873
28000,-154.079850570082
29000,-163.044451089456
30000,-155.218545956918
31000,-159.413686816319
32000,-162.754543731715
33000,-153.272009197949
34000,-153.082730065562
35000,-158.801824377274
36000,-154.326267774854
37000,-155.767340773239
38000,-155.437339026107
39000,-159.834918940061
40000,-152.223913846182
41000,-155.230146610322
42000,-161.272986965883
43000,-164.516948943729
44000,-158.302610926537
45000,-158.245586127638
46000,-156.539491672741
47000,-154.77470080154
48000,-155.970804087209
49000,-155.370079679083
50000,-163.692382949753
51000,-155.755597027014
52000,-160.029201671268
53000,-165.67047443421
54000,-158.445012080079
55000,-158.604213620491
56000,-153.92582410637
57000,-159.448744364671
58000,-155.506506689247
59000,-157.20228003974
60000,-158.007647063226
61000,-155.37649901994
62000,-158.536564954972
63000,-155.39283829332
64000,-155.776450877792
65000,-156.09707477305
66000,-156.482490540971
67000,-160.596531526665
68000,-156.33182041674
69000,-156.958864537729
70000,-159.96057239151
71000,-156.545214104353
72000,-161.011757443871
73000,-158.068507523592
74000,-155.888921800417
75000,-158.844927660815
76000,-153.67976225757
77000,-159.170592696717
78000,-157.345578100763
79000,-161.255445873152
80000,-162.95540910481
81000,-156.305965854532
82000,-154.589476161956
83000,-160.852661530641
84000,-150.395153765135
85000,-163.387640159569
86000,-162.991223322744
87000,-161.15142733946
88000,-160.9175160571
89000,-159.299699792894
90000,-160.565339221779
91000,-160.53760174198
92000,-155.928894166129
93000,-151.134957783786
94000,-157.267904754433
95000,-157.550176581674
96000,-154.788631712682
97000,-152.65038505686
98000,-157.229008484179
99000,-154.274209946235
100000,-157.685889189861
101000,-161.242600406722
102000,-162.334174513576
103000,-154.526434425805
104000,-161.517630830225
105000,-161.898353465972
106000,-160.085284265738
107000,-159.635851473321
108000,-156.537479867715
109000,-151.812212326604
110000,-170.8597013101
