step,EvalAverageReward
1000,-143.28709080357564
2000,-146.23212377182082
3000,-152.83893258601285
4000,-156.9385826874931
5000,-151.772220586986
6000,-136.93723624720104
7000,-157.41036223833035
8000,-155.73878352578305
9000,-150.58417967524093
10000,-152.8393496137123
11000,-150.79692340402295
12000,-146.46502615319093
13000,-153.3288892465522
14000,-149.4392832552527
15000,-147.40985218563273
16000,-155.04972854884087
17000,-147.15985342672957
18000,-149.0732173567768
19000,-152.95633962556698
20000,-154.83920198618083
21000,-149.4286827337417
22000,-156.06538083207457
23000,-146.72061420057204
24000,-156.60108157274698
25000,-147.09927053126881
26000,-146.8370687453339
27000,-161.01084566398077
28000,-146.45942581523343
29000,-149.52904525046847
30000,-149.70765664196318
31000,-153.09040944403756
32000,-153.2542933389022
33000,-145.3390113176702
34000,-154.59633894052303
35000,-154.06465125839864
36000,-142.90455220467337
37000,-143.97372794916402
38000,-147.90639932165834
39000,-150.71270313634955
40000,-150.79611084713792
41000,-157.16828970445357
42000,-141.18598045116278
43000,-155.97088050072244
44000,-154.31332466160814
45000,-149.56286072985182
46000,-154.02367468685307
47000,-146.80694790768985
48000,-160.28594836977524
49000,-153.5175831812607
50000,-144.2456876912497
51000,-153.79136362319878
52000,-148.98503640318168
53000,-154.80423662650696
54000,-155.39330018787354
55000,-152.30607799719726
56000,-149.64446894092802
57000,-149.8465603311039
58000,-145.79181634023558
59000,-150.86264996726163
60000,-145.45010241964204
61000,-147.46806325733533
62000,-149.44792702383262
63000,-155.70881772061293
64000,-151.2145341881623
65000,-152.35375210226
66000,-152.49878983239577
67000,-153.65157124062372
68000,-149.17578883371158
69000,-152.7095056180158
70000,-140.50508119467952
71000,-142.2171051320417
72000,-148.0798962514498
73000,-150.94476061805224
74000,-145.90254248823905
75000,-142.50596428819046
76000,-150.60164942453903
77000,-148.79736151291232
78000,-161.26649752677562
79000,-150.9193124848901
80000,-153.53911314817967
81000,-151.7689520464913
82000,-146.37695683405815
83000,-154.56805928177533
84000,-159.92505036743006
85000,-149.9937782781621
86000,-136.2761518726834
87000,-146.3270323807937
88000,-146.0004780960781
89000,-150.37622024025762
90000,-152.3770060136903
91000,-152.01429028736834
92000,-156.11857987356527
93000,-147.90486847643612
94000,-150.44187123966802
95000,-143.01169994987245
96000,-151.24460416555758
97000,-142.50515283069902
98000,-150.71406441578958
99000,-146.18182112412848
100000,-162.87137553009
101000,-145.62178454369982
102000,-141.69319813321414
103000,-147.94289138861822
104000,-152.30138001319375
105000,-151.85863242200958
106000,-152.89317852700637
107000,-158.29975873462502
108000,-145.70252754530196
109000,-152.2371085370907
110000,-153.7269778844564
111000,-152.99211901622576
112000,-155.327318715381
113000,-153.67571344665487
114000,-151.5861680036908
115000,-149.4777841763052
116000,-153.6454679744936
117000,-148.7243895120851
118000,-155.75965502591072
119000,-155.7973167253144
120000,-147.87704728708428
121000,-153.2690256615711
122000,-145.7097227790342
123000,-146.51329496480935
124000,-157.50361232242955
125000,-155.04926005527517
126000,-150.01689681094715
127000,-147.99421199088485
128000,-154.87227196167214
129000,-149.6429453153341
130000,-153.45170200664876
131000,-155.8833885830001
132000,-146.66863250755497
133000,-148.5066174876521
134000,-151.9582368110943
135000,-150.66077434505036
136000,-145.21121227563447
137000,-153.48167864597133
138000,-145.3970751398022
139000,-149.911551856794
140000,-145.83122410991535
141000,-152.06438989244478
142000,-153.40622819938915
143000,-158.9725884411718
144000,-163.66025743515613
145000,-147.37644000682704
146000,-153.80664377539432
