time,D_u,D_v,D_w,D_q,D_r,desired_x,x,desired_y,y,desired_z,z,l_error,beta_error,alpha_error,tau_{u},tau_{q},tau_{r}
0.1,4.00301353505759,2.45954148194105,2.255311553312,3.05279004854728,3.81911581827901,0,-3,10,13,-5,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,-99.9530136585236,50,-50
0.2,2.29137775185785,1.50531629337011,1.63668507317865,1.77962148951812,2.01019617976558,0.149994375063281,-3.04361363641976,9.99887502109359,13.0019215167828,-5.025,-0.999142467089995,4.95188619360014,-0.723479574170413,-0.705596726985222,-99.51211810112,50,-49.9999463558197
0.3,0.547808222192994,0.534341182509538,1.00598744927515,0.494059646346999,0.176014323686817,0.299955002024957,-3.12937665790862,9.99550033748988,13.0035833161838,-5.05,-0.997005850850562,5.10210131131652,-0.688555836120993,-0.601835395851388,18.029460310936,50,-49.9970734119415
0.4,-1.20328468902662,-0.443359156610969,0.367335815233139,-0.788607248516545,-1.6560322870744,0.449848140376602,-3.20204276964053,9.98987670847843,13.0017654598819,-5.075,-0.994783187178624,5.24947600276428,-0.651963695537581,-0.486673394386027,91.9037818908691,49.9969571828842,-49.9999791383743
0.5,-2.93731156931337,-1.41768708561077,-0.275093542539208,-2.05319016130223,-3.45861912232679,0.599640064794446,-3.22995558874959,9.98200539935204,12.996517217099,-5.1,-0.994463233301129,5.37248118959135,-0.619171865996939,-0.371222575149174,92.9299414157867,49.9999493360519,-49.9551266431809
0.6,-4.62991139700672,-2.37858616986115,-0.917094687803471,-3.28480375495373,-5.20496281012181,0.749297072727423,-3.21583192462858,9.97188818112208,12.9876597466645,-5.125,-0.996824061879207,5.46985028244759,-0.589843793140881,-0.257455573063895,99.9945282936096,49.9999940395355,-42.9798245429993
0.7,-6.25735607153073,-3.31615471296735,-1.55446175572883,-4.46906614834929,-6.86927895516653,0.89878549198011,-3.16080172542566,9.95952733011994,12.9671061093649,-5.15,-1.00344641786255,5.53602976573899,-0.565388064552826,-0.150177495389328,99.9999701976776,49.999988079071,-40.3310000896454
0.8,-7.79694447356815,-4.22075731506839,-2.18301867336876,-5.59229103805281,-8.4272210142593,1.04807168828882,-3.07014825792626,9.94492562748497,12.9293581564764,-5.175,-1.01542347496642,5.57028537531792,-0.545905080019286,-0.047727234678897,99.9844372272491,50,13.5898023843765
0.9,-9.22737867966851,-5.08313311876502,-2.79864866039418,-6.64166940050307,-9.85629206864777,1.19712207288919,-2.95153796653536,9.92808635853866,12.8686755474985,-5.2,-1.03349683742637,5.574054571167,-0.531259899632364,0.017238536321205,-98.3737647533417,50,49.9972760677338
1,-10.529115291006,-5.89449944955856,-3.39732329282493,-7.60543815133863,-11.1362218691408,1.34590311007348,-2.87981904731603,9.90901331204548,12.8262588876007,-5.225,-1.04562855279848,5.62073977688541,-0.513728562639449,0.040243537816068,88.1087779998779,50,36.9106769561768
1.1,-11.6846853132737,-6.64664961688136,-3.9751309158676,-8.47303333711604,-12.2493022149836,1.49438132473599,-2.79064993326101,9.88771077936042,12.7578786399525,-5.25,-1.06491184958396,5.64186112898635,-0.498862311143107,0.044544671772236,100,50,49.9960571527481
1.2,-12.6789766343743,-7.33204371634389,-4.52830419694695,-9.23522566993526,-13.1806745479532,1.64252330990481,-2.67953631625311,9.86418355346348,12.6663880967966,-5.275,-1.09176971679565,5.63565861968947,-0.486610443131979,0.026372304003847,100,49.9999940395355,49.9410271644592
1.3,-13.4994738761753,-7.94389136273394,-5.05324661657392,-9.88423648378818,-13.9185645821275,1.79029573425824,-2.54751860956669,9.83843692788122,12.557568999799,-5.3,-1.12580692136572,5.6056188479009,-0.476796862765754,-0.007598686134745,100,50,19.7914361953735
1.4,-14.1364512311564,-8.47622538542005,-5.54655770277265,-10.4138324886329,-14.454459828233,1.93766534962422,-2.39438945649259,9.81047669549577,12.4397353040893,-5.325,-1.16651709427466,5.55535504387619,-0.469185402104846,-0.032080505523745,100,50,6.4848855137825
1.5,-14.5831148170668,-8.92396563180193,-6.0050568243307,-10.8193980196516,-14.7832269882699,2.084598998461,-2.21942341319327,9.78030914724148,12.3237655029736,-5.35,-1.21332566977077,5.48890234692384,-0.463167016040466,-0.042138194292882,99.9998509883881,49.9999761581421,25.9014904499054
1.6,-14.8356920737004,-9.28297214883549,-6.4258053690661,-11.0979838198867,-14.9031673686197,2.23106362131745,-2.02844005553507,9.74794107068943,12.2085431684592,-5.375,-1.26565998742758,5.40972773178378,-0.458490626743145,-0.054458906765048,100,49.9999850988388,42.6107287406921
1.7,-14.8934667650819,-9.55008714582547,-6.80612714553785,-11.2483317491768,-14.8160096643201,2.37702626427135,-1.82677606065085,9.7133797485203,12.0914951456738,-5.4,-1.32288031214329,5.32062431871318,-0.455143988916174,-0.078948015432854,100,49.9999821186066,6.54570087790489
1.8,-14.7587592162611,-9.72316528190418,-7.14362686006892,-11.2708751755302,-14.5268406793337,2.52245408634378,-1.61642741160711,9.67663295688576,11.9745460973431,-5.425,-1.3843543606471,5.22395067766353,-0.4524005832661,-0.088986982240235,100,49.9999642372131,8.45378264784813
1.9,-14.4368524844946,-9.8010919670894,-7.43620653549817,-11.1677151711487,-14.0439757430446,2.66731436688831,-1.39542096107719,9.63770896365891,11.8681688527231,-5.45,-1.44960315923141,5.12241329423737,-0.44996140733201,-0.091172391607702,100,50,-0.658592255786061
2,-13.9358662177588,-9.78378951466836,-7.68207975361915,-10.9425729985731,-13.3787717379101,2.81157451295294,-1.16939138382398,9.59661652657401,11.7634165353804,-5.475,-1.51825774756775,5.01655391413115,-0.447636271836695,-0.081908558608043,100,49.9983787536621,23.7374976277351
