time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
2,-13.9358662177588,-9.78378951466836,-7.68207975361915,-10.9425729985731,-13.3787717379101,1,1.00368817634395,-0.349065850398866,-0.318686466702597,-2.0943951023932,-1.92618989134552,-0.003688176343951,-0.030379383696269,-0.168205211047671,28.949174284935,-29.3802440166473,2.68379412591457
2.1,-13.2665809675774,-9.67221113297502,-7.87978361967826,-10.6007197272561,-12.5453867441196,1,1.00150388348288,-0.349065850398866,-0.324820354178596,-2.0943951023932,-1.98493764114588,-0.00150388348288,-0.02424549622027,-0.109457461247318,27.37877368927,-30.9664607048035,25.1749724149704
2.2,-12.4422166772215,-9.46832289449248,-8.02818836446829,-10.1488841617827,-11.5604913125906,1,1.0037357169273,-0.349065850398866,-0.331166560772666,-2.0943951023932,-2.01811158570313,-0.003735716927303,-0.0178992896262,-0.07628351669007,27.2908568382263,-23.6427217721939,6.43762499094009
2.3,-11.4781699409181,-9.17507396770822,-8.12650451733143,-9.59514058471194,-10.4429372778414,1,0.995191664455505,-0.349065850398866,-0.333493539468237,-2.0943951023932,-2.04762185413686,0.004808335544495,-0.015572310930629,-0.046773248256336,23.8004177808762,-30.7033658027649,25.4226952791214
2.4,-10.3917154069708,-8.79635554040278,-8.17428760164488,-8.94877811465185,-9.21339079960941,1,1.00495197022226,-0.349065850398866,-0.338309330094459,-2.0943951023932,-2.05906285666056,-0.00495197022226,-0.010756520304407,-0.035332245732632,26.6156703233719,-29.135525226593,7.76700749993324
2.5,-9.2016773619406,-8.33694900024776,-8.17144032295967,-8.2201537491456,-7.89393696155089,1,1.00030823084854,-0.349065850398866,-0.342229608107704,-2.0943951023932,-2.06953337552249,-0.000308230848543,-0.006836242291162,-0.024861726870707,22.4284186959267,-25.9204089641571,16.7936831712723
2.6,-7.92807807096991,-7.80246406799928,-8.11821223875938,-7.42053139813415,-6.5076637448354,1,1.00514141002015,-0.349065850398866,-0.343953668501289,-2.0943951023932,-2.07135737319525,-0.00514141002015,-0.005112181897577,-0.02303772919795,23.16624969244,-30.9432148933411,3.26099582016468
2.7,-6.59176985039148,-7.19926769857581,-8.01519691765389,-6.56190941359451,-5.07823352498544,1,1.00164864631147,-0.349065850398866,-0.347251913108011,-2.0943951023932,-2.07572361519693,-0.001648646311472,-0.001813937290855,-0.01867148719627,20.1002299785614,-24.6984213590622,9.70353707671165
2.8,-5.21405810528963,-6.53440467441246,-7.86332661458249,-5.65683928142273,-3.62945040622483,1,0.999902396120803,-0.349065850398866,-0.347261030587575,-2.0943951023932,-2.07606424850236,9.76038791968836E-05,-0.001804819811291,-0.018330853890833,19.0217226743698,-31.0043096542358,1.78854204714298
2.9,-3.81632267211819,-5.81551091234109,-7.66386450712605,-4.71823826036436,-2.18483170664178,1,1.00285783325177,-0.349065850398866,-0.3492013070283,-2.0943951023932,-2.07813632235822,-0.002857833251768,0.000135456629435,-0.016258780034977,18.6306551098824,-25.7756322622299,3.26435267925262
